date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:55:48	3187/3187	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:55:47%20GMT	http://localhost:8000/robots.txt		(from )
12:55:49	28440/28440	---M--	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202024%2009:55:48%20GMT	http://localhost:8000/	localhost_8000/index.html	(from )
12:55:51	0/0	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/css/nyagaks.css	localhost_8000/static/css/nyagaks.0.delayed	(from http://localhost:8000/)
12:55:51	3205/3205	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:55:51%20GMT	http://localhost:8000/site.webmanifest	localhost_8000/site.1.delayed	(from http://localhost:8000/)
12:55:52	3270/3270	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:55:52%20GMT	http://localhost:8000/{%%20static%20'assets/img/logo.ico	localhost_8000/{%%20static%20'assets/img/logo.2.delayed	(from http://localhost:8000/)
12:55:55	140936/140936	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/css/bootstrap.min.css	localhost_8000/static/assets/css/bootstrap.min.css	(from http://localhost:8000/)
12:55:57	2936/2936	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/css/owl.carousel.min.css	localhost_8000/static/assets/css/owl.carousel.min.css	(from http://localhost:8000/)
12:55:57	5732/5732	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/css/slicknav.css	localhost_8000/static/assets/css/slicknav.css	(from http://localhost:8000/)
12:55:59	56048/56048	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/css/animate.min.css	localhost_8000/static/assets/css/animate.min.css	(from http://localhost:8000/)
12:55:59	6951/6951	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/css/magnific-popup.css	localhost_8000/static/assets/css/magnific-popup.css	(from http://localhost:8000/)
12:55:59	34680/34680	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/css/fontawesome-all.min.css	localhost_8000/static/assets/css/fontawesome-all.min.css	(from http://localhost:8000/)
12:56:01	16452/16452	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/css/themify-icons.css	localhost_8000/static/assets/css/themify-icons.css	(from http://localhost:8000/)
12:56:01	882/882	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/css/flaticon.css	localhost_8000/static/assets/css/flaticon.css	(from http://localhost:8000/)
12:56:02	1776/1776	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/css/slick.css	localhost_8000/static/assets/css/slick.css	(from http://localhost:8000/)
12:56:03	4007/4007	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/css/nice-select.css	localhost_8000/static/assets/css/nice-select.css	(from http://localhost:8000/)
12:56:06	114544/114544	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/css/style.css	localhost_8000/static/assets/css/style.css	(from http://localhost:8000/)
12:56:09	26483/26483	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/logo/loder.png	localhost_8000/static/assets/img/logo/loder.png	(from http://localhost:8000/)
12:56:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Dec%202024%2009:56:07%20GMT	http://localhost:8000/about-page	localhost_8000/about-page.10.delayed	(from http://localhost:8000/)
12:56:11	26483/26483	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/logo/logo.png	localhost_8000/static/assets/img/logo/logo.png	(from http://localhost:8000/)
12:56:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Dec%202024%2009:56:09%20GMT	http://localhost:8000/services	localhost_8000/services.11.delayed	(from http://localhost:8000/)
12:56:11	19031/19031	---M--	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202024%2009:56:10%20GMT	http://localhost:8000/about-page/	localhost_8000/about-page/index.html	(from http://localhost:8000/)
12:56:13	1209/1209	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/icon/video_btn.png	localhost_8000/static/assets/img/icon/video_btn.13.delayed	(from http://localhost:8000/)
12:56:13	23842/23842	---M--	200	added ('OK')	text/html	date:Wed,%2004%20Dec%202024%2009:56:13%20GMT	http://localhost:8000/services/	localhost_8000/services/index.html	(from http://localhost:8000/)
12:56:23	37644/37644	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/legal/photo-1576568699714-a3f4950805d5.jpg	localhost_8000/static/assets/img/legal/photo-1576568699714-a3f4950805d5.jpg	(from http://localhost:8000/)
12:56:23	27952/27952	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/legal/photo-1589391886645-d51941baf7fb.jpg	localhost_8000/static/assets/img/legal/photo-1589391886645-d51941baf7fb.jpg	(from http://localhost:8000/)
12:56:25	28669/28669	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/legal/photo-1589216532372-1c2a367900d9.jpg	localhost_8000/static/assets/img/legal/photo-1589216532372-1c2a367900d9.jpg	(from http://localhost:8000/)
12:56:38	168665/168665	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/hero/index.jpg	localhost_8000/static/assets/img/hero/index.jpg	(from http://localhost:8000/)
12:56:39	0/0	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/js/nyagaks.js	localhost_8000/static/js/nyagaks.1a.delayed	(from http://localhost:8000/)
12:56:42	8636/8636	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/vendor/modernizr-3.5.0.min.js	localhost_8000/static/assets/js/vendor/modernizr-3.5.0.min.js	(from http://localhost:8000/)
12:56:50	134603/134603	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/about/about-low-back.jpg	localhost_8000/static/assets/img/about/about-low-back.jpg	(from http://localhost:8000/)
12:56:55	19188/19188	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/popper.min.js	localhost_8000/static/assets/js/popper.min.js	(from http://localhost:8000/)
